20:09:34 web.1  | started with pid 28351
20:12:03 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:03] "GET /js/bootstrap-twipsy.js HTTP/1.1" 304 - 0.0010
20:12:03 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:03] "GET /js/less-1.1.3.min.js HTTP/1.1" 304 - 0.0010
20:12:03 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:03] "GET /js/bootstrap-popover.js HTTP/1.1" 304 - 0.0009
20:12:03 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:03] "GET /lib/bootstrap.less HTTP/1.1" 304 - 0.0007
20:12:03 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:03] "GET /lib/reset.less HTTP/1.1" 304 - 0.0008
20:12:03 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:03] "GET /lib/variables.less HTTP/1.1" 304 - 0.0038
20:12:03 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:03] "GET /lib/mixins.less HTTP/1.1" 304 - 0.0008
20:12:03 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:03] "GET /lib/scaffolding.less HTTP/1.1" 304 - 0.0010
20:12:03 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:03] "GET /lib/type.less HTTP/1.1" 304 - 0.0010
20:12:03 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:03] "GET /lib/forms.less HTTP/1.1" 304 - 0.0012
20:12:03 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:03] "GET /lib/tables.less HTTP/1.1" 304 - 0.0145
20:12:03 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:03] "GET /lib/patterns.less HTTP/1.1" 304 - 0.0014
20:12:03 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:03] "GET /js/jquery.tablesorter.min.js HTTP/1.1" 304 - 0.0013
20:12:03 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:03] "GET /js/bootstrap-twipsy.js HTTP/1.1" 304 - 0.0053
20:12:03 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:03] "GET /js/bootstrap-scrollspy.js HTTP/1.1" 304 - 0.0010
20:12:04 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:04] "GET /js/bootstrap-dropdown.js HTTP/1.1" 304 - 0.0008
20:12:04 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:04] "GET /js/bootstrap-popover.js HTTP/1.1" 304 - 0.0022
20:12:04 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:04] "GET /favicon.ico HTTP/1.1" 404 450 0.0013
20:12:18 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:18] "GET / HTTP/1.1" 200 2847 0.0063
20:12:18 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:18] "GET /js/jquery-1.5.2.min.js HTTP/1.1" 304 - 0.0007
20:12:18 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:18] "GET /js/bootstrap-scrollspy.js HTTP/1.1" 304 - 0.0008
20:12:18 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:18] "GET /js/bootstrap-twipsy.js HTTP/1.1" 304 - 0.0093
20:12:18 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:18] "GET /js/less-1.1.3.min.js HTTP/1.1" 304 - 0.0006
20:12:18 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:18] "GET /js/jquery.tablesorter.min.js HTTP/1.1" 304 - 0.0006
20:12:18 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:18] "GET /js/bootstrap-dropdown.js HTTP/1.1" 304 - 0.0008
20:12:18 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:18] "GET /js/bootstrap-popover.js HTTP/1.1" 304 - 0.0007
20:12:18 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:18] "GET /lib/bootstrap.less HTTP/1.1" 304 - 0.0009
20:12:18 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:18] "GET /lib/reset.less HTTP/1.1" 304 - 0.0007
20:12:18 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:18] "GET /lib/variables.less HTTP/1.1" 304 - 0.0007
20:12:18 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:18] "GET /lib/mixins.less HTTP/1.1" 304 - 0.0007
20:12:18 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:18] "GET /lib/scaffolding.less HTTP/1.1" 304 - 0.0007
20:12:18 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:18] "GET /lib/type.less HTTP/1.1" 304 - 0.0007
20:12:18 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:18] "GET /lib/forms.less HTTP/1.1" 304 - 0.0009
20:12:18 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:18] "GET /lib/tables.less HTTP/1.1" 304 - 0.0007
20:12:18 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:18] "GET /lib/patterns.less HTTP/1.1" 304 - 0.0006
20:12:19 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:19] "GET /js/jquery-1.5.2.min.js HTTP/1.1" 304 - 0.0007
20:12:19 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:19] "GET /favicon.ico HTTP/1.1" 404 450 0.0009
20:12:24 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:24] "GET /favicon.ico HTTP/1.1" 404 450 0.0018
20:12:25 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:25] "GET /docs/ HTTP/1.1" 200 8913 0.0221
20:12:25 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:25] "GET /js/bootstrap-twipsy.js HTTP/1.1" 304 - 0.0007
20:12:25 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:25] "GET /js/less-1.1.3.min.js HTTP/1.1" 304 - 0.0007
20:12:25 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:25] "GET /js/bootstrap-scrollspy.js HTTP/1.1" 304 - 0.0009
20:12:25 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:25] "GET /js/bootstrap-dropdown.js HTTP/1.1" 304 - 0.0007
20:12:25 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:25] "GET /js/jquery-1.5.2.min.js HTTP/1.1" 304 - 0.0151
20:12:25 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:25] "GET /js/jquery.tablesorter.min.js HTTP/1.1" 304 - 0.0010
20:12:25 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:25] "GET /lib/bootstrap.less HTTP/1.1" 304 - 0.0007
20:12:25 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:25] "GET /js/bootstrap-popover.js HTTP/1.1" 304 - 0.0009
20:12:26 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:26] "GET /lib/reset.less HTTP/1.1" 304 - 0.0009
20:12:26 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:26] "GET /lib/variables.less HTTP/1.1" 304 - 0.0009
20:12:26 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:26] "GET /lib/mixins.less HTTP/1.1" 304 - 0.0008
20:12:26 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:26] "GET /lib/scaffolding.less HTTP/1.1" 304 - 0.0049
20:12:26 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:26] "GET /lib/type.less HTTP/1.1" 304 - 0.0008
20:12:26 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:26] "GET /lib/forms.less HTTP/1.1" 304 - 0.0030
20:12:26 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:26] "GET /lib/tables.less HTTP/1.1" 304 - 0.0079
20:12:26 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:26] "GET /lib/patterns.less HTTP/1.1" 304 - 0.0009
20:12:26 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:26] "GET /js/bootstrap-twipsy.js HTTP/1.1" 304 - 0.0013
